log_file,type,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,Note
build_template_banks_3132155_0.out,build,0:4:11.54,1,5.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_1.out,build,0:3:49.64,1,5.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_2.out,build,0:3:40.34,1,6.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_3.out,build,0:3:32.01,1,6.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_4.out,build,0:3:33.36,1,7.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_5.out,build,0:3:26.32,1,7.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_6.out,build,0:3:21.21,1,8.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_7.out,build,0:3:14.98,1,8.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_8.out,build,0:3:0.03,1,9.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_9.out,build,0:3:2.54,1,9.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_10.out,build,0:2:51.43,1,10.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_11.out,build,0:2:59.39,1,10.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_12.out,build,0:2:46.4,1,11.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_13.out,build,0:2:44.53,1,11.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_14.out,build,0:2:46.65,1,12.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_15.out,build,0:2:42.85,1,12.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_16.out,build,0:2:38.57,1,13.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_17.out,build,0:2:39.95,1,13.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_18.out,build,0:2:35.91,1,14.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_19.out,build,0:2:36.08,1,14.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_20.out,build,0:2:32.54,1,15.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_21.out,build,0:2:31.29,1,15.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_22.out,build,0:2:27.1,1,16.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_23.out,build,0:2:23.0,1,16.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_24.out,build,0:2:18.72,1,17.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_25.out,build,0:2:19.58,1,17.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_26.out,build,0:2:23.8,1,18.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_27.out,build,0:2:19.73,1,18.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_28.out,build,0:2:19.16,1,19.0,,,,,,,0,6,61,0,15,151,51,,
