log_file,type,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype
build_template_banks_3053672_0.out,build,0:3:40.88,1e-8,11.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_1.out,build,0:3:41.93,1e-8,12.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_2.out,build,0:3:30.45,1e-8,13.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_3.out,build,0:3:25.28,1e-8,14.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_4.out,build,0:5:33.36,1e-8,15.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_5.out,build,0:3:14.48,1e-8,16.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_6.out,build,0:3:7.05,1e-8,17.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_7.out,build,0:4:59.24,1e-8,18.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_8.out,build,0:2:56.49,1e-8,19.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_9.out,build,0:2:50.44,1e-8,20.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_10.out,build,0:5:12.72,1e-8,21.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_11.out,build,0:2:46.09,1e-8,22.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_12.out,build,0:2:38.22,1e-8,23.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_13.out,build,0:2:35.9,1e-8,24.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_14.out,build,0:2:38.19,1e-8,25.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_15.out,build,0:2:34.55,1e-8,26.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_16.out,build,0:2:31.11,1e-8,27.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_17.out,build,0:2:34.0,1e-8,28.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_18.out,build,0:2:28.59,1e-8,29.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_19.out,build,0:2:28.8,1e-8,30.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_20.out,build,0:2:22.71,1e-8,31.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_21.out,build,0:2:24.04,1e-8,32.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_22.out,build,0:2:21.86,1e-8,33.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_23.out,build,0:2:19.63,1e-8,34.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_24.out,build,0:2:18.49,1e-8,35.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_25.out,build,0:2:17.86,1e-8,36.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_26.out,build,0:2:18.24,1e-8,37.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_27.out,build,0:2:16.24,1e-8,38.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_28.out,build,0:2:14.15,1e-8,39.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_3053672_29.out,build,0:2:12.56,1e-8,40.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053582_0.out,build,,1e-8,,80.0,89.0,10,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053638_0.out,build,0:2:31.62,1e-8,,89.0,90.0,2,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053651_0.out,build,0:4:11.05,1e-8,10.0,,,,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053652_0.out,build,0:18:8.92,1e-8,,70.0,79.0,10,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053685_0.out,build,0:20:35.58,1e-8,,60.0,69.0,10,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053697_0.out,build,0:23:59.0,1e-8,,50.0,59.0,10,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053745_0.out,build,0:27:0.62,1e-8,,40.0,49.0,10,,,,0,6,61,0,15,151,51,
build_template_banks_test_3053783_0.out,build,0:2:12.22,1e-8,40.0,,,,,,,0,6,61,0,15,151,51,
compute_mismatch_3053758_0.out,mismatch,0:6:54.69,1e-8,10.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_1.out,mismatch,0:6:38.07,1e-8,11.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_2.out,mismatch,0:6:36.75,1e-8,12.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_3.out,mismatch,0:6:22.57,1e-8,13.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_4.out,mismatch,0:6:30.51,1e-8,14.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_5.out,mismatch,0:6:9.63,1e-8,15.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_6.out,mismatch,0:6:22.92,1e-8,16.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_7.out,mismatch,0:6:1.6,1e-8,17.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_8.out,mismatch,0:5:51.23,1e-8,18.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053758_9.out,mismatch,0:5:43.78,1e-8,19.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_0.out,mismatch,0:5:55.77,1e-8,20.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_1.out,mismatch,0:5:39.17,1e-8,21.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_2.out,mismatch,0:5:44.89,1e-8,22.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_3.out,mismatch,0:5:34.48,1e-8,23.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_4.out,mismatch,0:5:35.09,1e-8,24.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_5.out,mismatch,0:5:49.68,1e-8,25.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_6.out,mismatch,0:5:49.23,1e-8,26.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_7.out,mismatch,0:5:37.32,1e-8,27.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_8.out,mismatch,0:5:44.91,1e-8,28.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_9.out,mismatch,0:5:26.69,1e-8,29.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_10.out,mismatch,0:5:27.66,1e-8,30.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_11.out,mismatch,0:5:30.99,1e-8,31.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_12.out,mismatch,0:5:44.22,1e-8,32.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_13.out,mismatch,0:5:52.98,1e-8,33.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_14.out,mismatch,0:5:44.71,1e-8,34.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_15.out,mismatch,0:5:35.83,1e-8,35.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_16.out,mismatch,0:5:30.18,1e-8,36.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_17.out,mismatch,0:5:30.05,1e-8,37.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_18.out,mismatch,0:5:31.18,1e-8,38.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053769_19.out,mismatch,0:5:32.93,1e-8,39.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_0.out,mismatch,0:5:21.33,1e-8,40.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_1.out,mismatch,0:5:23.17,1e-8,41.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_2.out,mismatch,0:5:21.6,1e-8,42.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_3.out,mismatch,0:5:43.1,1e-8,43.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_4.out,mismatch,0:5:43.6,1e-8,44.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_5.out,mismatch,0:5:36.59,1e-8,45.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_6.out,mismatch,0:5:37.29,1e-8,46.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_7.out,mismatch,0:5:36.29,1e-8,47.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_8.out,mismatch,0:5:32.74,1e-8,48.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_9.out,mismatch,0:5:25.09,1e-8,49.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_10.out,mismatch,0:5:27.3,1e-8,50.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_11.out,mismatch,0:5:17.0,1e-8,51.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_12.out,mismatch,0:5:14.46,1e-8,52.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_13.out,mismatch,0:5:14.72,1e-8,53.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_14.out,mismatch,0:5:9.38,1e-8,54.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_15.out,mismatch,0:5:17.31,1e-8,55.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_16.out,mismatch,0:5:21.06,1e-8,56.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_17.out,mismatch,0:5:21.5,1e-8,57.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_18.out,mismatch,0:5:10.45,1e-8,58.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_19.out,mismatch,0:5:8.33,1e-8,59.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_20.out,mismatch,0:5:9.31,1e-8,60.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_21.out,mismatch,0:5:4.79,1e-8,61.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_22.out,mismatch,0:5:18.52,1e-8,62.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_23.out,mismatch,0:5:24.35,1e-8,63.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_24.out,mismatch,0:5:25.26,1e-8,64.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_25.out,mismatch,0:5:11.56,1e-8,65.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_26.out,mismatch,0:5:11.48,1e-8,66.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_27.out,mismatch,0:5:11.91,1e-8,67.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_28.out,mismatch,0:5:14.44,1e-8,68.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_29.out,mismatch,0:5:7.72,1e-8,69.0,,,,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_test_3053754_0.out,mismatch,0:59:4.05,1e-8,,80.0,90.0,11,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_test_3053755_0.out,mismatch,0:54:28.45,1e-8,,70.0,79.0,10,20,70,51,0,6,61,0,15,151,51,
