log_file,pipeline,stage,total_time,z,mcz,I,I_min,I_max,I_pts,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_path,date,status,Note
compute_mismatch_I_td_cubes_3132995_0.out,I_td,mismatch,0:5:28.81,1,15,0.1,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p1_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_1.out,I_td,mismatch,0:5:28.64,1,15,0.11,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p11_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_2.out,I_td,mismatch,0:5:28.51,1,15,0.12,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p12_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_3.out,I_td,mismatch,0:5:30.55,1,15,0.13,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p13_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_4.out,I_td,mismatch,0:5:26.96,1,15,0.14,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p14_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_5.out,I_td,mismatch,0:5:29.24,1,15,0.15,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p15_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_6.out,I_td,mismatch,0:5:29.51,1,15,0.16,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p16_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_7.out,I_td,mismatch,0:5:45.1,1,15,0.17,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p17_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_8.out,I_td,mismatch,0:5:38.29,1,15,0.18,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p18_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_9.out,I_td,mismatch,0:5:38.43,1,15,0.19,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p19_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
compute_mismatch_I_td_cubes_3132995_10.out,I_td,mismatch,0:5:38.08,1,15,0.2,,,,,,,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_edgeon/mismatch_cubes/mismatch_cubes_z1_mcz15_I0p2_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
