log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
build_template_banks_3059589_0.out,mcz_td,build,,1,5.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_1.out,mcz_td,build,,1,5.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_2.out,mcz_td,build,,1,6.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_3.out,mcz_td,build,,1,6.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_4.out,mcz_td,build,,1,7.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_5.out,mcz_td,build,,1,7.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_6.out,mcz_td,build,,1,8.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_7.out,mcz_td,build,,1,8.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_8.out,mcz_td,build,0:2:42.26,1,9.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_9.out,mcz_td,build,0:2:34.15,1,9.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_10.out,mcz_td,build,0:2:25.19,1,10.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_11.out,mcz_td,build,0:2:23.02,1,10.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_12.out,mcz_td,build,0:2:26.55,1,11.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_13.out,mcz_td,build,0:2:18.26,1,11.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_14.out,mcz_td,build,0:2:12.22,1,12.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_15.out,mcz_td,build,0:2:16.77,1,12.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_16.out,mcz_td,build,0:2:9.46,1,13.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_17.out,mcz_td,build,0:2:13.67,1,13.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_18.out,mcz_td,build,0:2:8.31,1,14.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_19.out,mcz_td,build,0:2:7.5,1,14.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_20.out,mcz_td,build,0:2:3.66,1,15.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_21.out,mcz_td,build,0:2:6.05,1,15.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_22.out,mcz_td,build,0:1:59.34,1,16.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_23.out,mcz_td,build,0:1:55.71,1,16.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_24.out,mcz_td,build,0:1:58.13,1,17.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_25.out,mcz_td,build,0:1:58.91,1,17.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_26.out,mcz_td,build,0:1:59.01,1,18.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_27.out,mcz_td,build,0:1:54.58,1,18.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_28.out,mcz_td,build,0:1:56.29,1,19.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_29.out,mcz_td,build,0:2:2.26,1,19.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_30.out,mcz_td,build,0:1:46.79,1,20.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_31.out,mcz_td,build,0:1:52.23,1,20.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_32.out,mcz_td,build,0:1:49.16,1,21.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_33.out,mcz_td,build,0:1:42.5,1,21.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
