log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,I_min,I_max,I_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
compute_mismatch_I_td_cubes_3138901_0.out,I_td,mismatch,0:5:38.46,1,15,,,,0.1,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p1_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_1.out,I_td,mismatch,0:5:42.15,1,15,,,,0.11,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p11_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_2.out,I_td,mismatch,0:5:37.89,1,15,,,,0.12,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p12_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_3.out,I_td,mismatch,0:5:25.74,1,15,,,,0.13,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p13_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_4.out,I_td,mismatch,0:5:25.29,1,15,,,,0.14,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p14_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_5.out,I_td,mismatch,0:5:27.43,1,15,,,,0.15,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p15_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_6.out,I_td,mismatch,0:5:26.37,1,15,,,,0.16,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p16_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_7.out,I_td,mismatch,0:5:27.71,1,15,,,,0.17,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p17_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_8.out,I_td,mismatch,0:5:27.77,1,15,,,,0.18,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p18_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_9.out,I_td,mismatch,0:5:29.77,1,15,,,,0.19,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p19_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_10.out,I_td,mismatch,0:5:23.04,1,15,,,,0.2,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p2_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_11.out,I_td,mismatch,0:5:26.66,1,15,,,,0.21,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p21_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_12.out,I_td,mismatch,0:5:25.35,1,15,,,,0.22,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p22_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_13.out,I_td,mismatch,0:5:27.42,1,15,,,,0.23,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p23_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_14.out,I_td,mismatch,0:5:29.16,1,15,,,,0.24,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p24_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_15.out,I_td,mismatch,0:5:25.57,1,15,,,,0.25,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p25_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_16.out,I_td,mismatch,0:5:27.08,1,15,,,,0.26,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p26_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_17.out,I_td,mismatch,0:5:22.24,1,15,,,,0.27,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p27_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_18.out,I_td,mismatch,0:5:22.55,1,15,,,,0.28,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p28_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_19.out,I_td,mismatch,0:5:22.58,1,15,,,,0.29,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p29_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_20.out,I_td,mismatch,0:5:38.78,1,15,,,,0.3,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p3_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_21.out,I_td,mismatch,0:5:41.4,1,15,,,,0.31,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p31_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_22.out,I_td,mismatch,0:5:41.09,1,15,,,,0.32,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p32_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_23.out,I_td,mismatch,0:5:37.05,1,15,,,,0.33,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p33_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_24.out,I_td,mismatch,0:5:36.05,1,15,,,,0.34,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p34_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_25.out,I_td,mismatch,0:5:20.28,1,15,,,,0.35,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p35_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_26.out,I_td,mismatch,0:5:23.43,1,15,,,,0.36,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p36_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_27.out,I_td,mismatch,0:5:27.91,1,15,,,,0.37,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p37_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_28.out,I_td,mismatch,0:5:25.95,1,15,,,,0.38,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p38_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_29.out,I_td,mismatch,0:5:29.79,1,15,,,,0.39,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p39_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_30.out,I_td,mismatch,0:5:25.37,1,15,,,,0.4,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p4_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_31.out,I_td,mismatch,0:5:22.52,1,15,,,,0.41,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p41_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_32.out,I_td,mismatch,0:5:27.72,1,15,,,,0.42,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p42_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_33.out,I_td,mismatch,0:5:25.66,1,15,,,,0.43,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p43_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_34.out,I_td,mismatch,0:5:25.05,1,15,,,,0.44,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p44_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_35.out,I_td,mismatch,0:5:30.26,1,15,,,,0.45,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p45_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_36.out,I_td,mismatch,0:5:25.63,1,15,,,,0.46,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p46_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_37.out,I_td,mismatch,0:5:32.83,1,15,,,,0.47,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p47_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_38.out,I_td,mismatch,0:5:24.47,1,15,,,,0.48,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p48_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_39.out,I_td,mismatch,0:5:27.55,1,15,,,,0.49,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p49_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_40.out,I_td,mismatch,0:5:43.16,1,15,,,,0.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_41.out,I_td,mismatch,0:5:39.06,1,15,,,,0.51,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p51_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_42.out,I_td,mismatch,0:5:36.55,1,15,,,,0.52,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p52_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_43.out,I_td,mismatch,0:5:39.28,1,15,,,,0.53,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p53_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_44.out,I_td,mismatch,0:5:38.3,1,15,,,,0.54,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p54_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_45.out,I_td,mismatch,0:5:23.65,1,15,,,,0.55,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p55_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_46.out,I_td,mismatch,0:5:25.42,1,15,,,,0.56,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p56_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_47.out,I_td,mismatch,0:5:26.55,1,15,,,,0.57,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p57_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_48.out,I_td,mismatch,0:5:29.56,1,15,,,,0.58,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p58_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_49.out,I_td,mismatch,0:5:28.83,1,15,,,,0.59,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p59_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_50.out,I_td,mismatch,0:5:26.44,1,15,,,,0.6,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p6_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_51.out,I_td,mismatch,0:5:25.75,1,15,,,,0.61,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p61_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_52.out,I_td,mismatch,0:5:30.29,1,15,,,,0.62,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p62_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_53.out,I_td,mismatch,0:5:24.96,1,15,,,,0.63,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p63_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_54.out,I_td,mismatch,0:5:24.87,1,15,,,,0.64,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p64_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
compute_mismatch_I_td_cubes_3138901_55.out,I_td,mismatch,0:5:26.49,1,15,,,,0.65,,,,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p65_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-05-02,ok,
