log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
build_template_banks_3055124_0.out,mcz_td,build,0:4:1.83,1,5.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_1.out,mcz_td,build,0:3:48.49,1,5.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz5p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_2.out,mcz_td,build,0:3:48.81,1,6.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz6_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_3.out,mcz_td,build,0:3:33.7,1,6.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz6p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_4.out,mcz_td,build,0:3:31.73,1,7.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz7_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_5.out,mcz_td,build,0:3:21.3,1,7.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz7p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_6.out,mcz_td,build,0:3:13.08,1,8.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz8_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_7.out,mcz_td,build,0:3:15.97,1,8.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz8p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_8.out,mcz_td,build,0:2:59.11,1,9.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz9_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_9.out,mcz_td,build,0:2:55.03,1,9.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz9p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_10.out,mcz_td,build,0:2:56.24,1,10.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz10_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_11.out,mcz_td,build,0:2:51.47,1,10.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz10p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_12.out,mcz_td,build,0:2:49.41,1,11.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz11_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
