log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status
build_template_banks_3053672_0.out,mcz_td,build,0:3:40.88,1e-8,11.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz11_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_1.out,mcz_td,build,0:3:41.93,1e-8,12.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz12_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_2.out,mcz_td,build,0:3:30.45,1e-8,13.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz13_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_3.out,mcz_td,build,0:3:25.28,1e-8,14.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz14_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_4.out,mcz_td,build,0:5:33.36,1e-8,15.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz15_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_5.out,mcz_td,build,0:3:14.48,1e-8,16.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz16_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_6.out,mcz_td,build,0:3:7.05,1e-8,17.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz17_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_7.out,mcz_td,build,0:4:59.24,1e-8,18.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz18_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_8.out,mcz_td,build,0:2:56.49,1e-8,19.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz19_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_9.out,mcz_td,build,0:2:50.44,1e-8,20.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz20_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_10.out,mcz_td,build,0:5:12.72,1e-8,21.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz21_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
