log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,size,date,status,note
build_template_banks_3059589_0.out,mcz_td,build,,1,5.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2053934003,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_1.out,mcz_td,build,,1,5.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz5p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1858747925,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_2.out,mcz_td,build,,1,6.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz6_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1691120292,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_3.out,mcz_td,build,,1,6.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz6p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1545183579,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_4.out,mcz_td,build,,1,7.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz7_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1421817442,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_5.out,mcz_td,build,,1,7.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz7p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1316005561,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_6.out,mcz_td,build,,1,8.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz8_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1222288695,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_7.out,mcz_td,build,,1,8.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz8p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1138534983,2026-04-08,failed,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED
build_template_banks_3059589_8.out,mcz_td,build,0:2:42.26,1,9.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz9_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,1061464386,2026-04-08,ok,
build_template_banks_3059589_9.out,mcz_td,build,0:2:34.15,1,9.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz9p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,993938732,2026-04-08,ok,
build_template_banks_3059589_10.out,mcz_td,build,0:2:25.19,1,10.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz10_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,933842655,2026-04-08,ok,
build_template_banks_3059589_11.out,mcz_td,build,0:2:23.02,1,10.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz10p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,879413524,2026-04-08,ok,
build_template_banks_3059589_12.out,mcz_td,build,0:2:26.55,1,11.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz11_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,828015432,2026-04-08,ok,
build_template_banks_3059589_13.out,mcz_td,build,0:2:18.26,1,11.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz11p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,781080712,2026-04-08,ok,
